eva,name,lat,lon,region_name,state_name
8005791,Sulz(Neckar),48.366485,8.636748,Freiburg,Baden-Württemberg
8002553,Hamburg-Altona,53.552695,9.935175,Hamburg,Hamburg
8002554,Hamburg-Bergedorf,53.489832,10.206171,Hamburg,Hamburg
8010334,Stendal Hbf,52.594723,11.854412,Magdeburg,Sachsen-Anhalt
8000147,Hamburg-Harburg,53.455908,9.991701,Hamburg,Hamburg
8000207,Köln Hbf,50.94303,6.958729,Köln,Nordrhein-Westfalen
8000096,Stuttgart Hbf,48.784084,9.181635,Stuttgart,Baden-Württemberg
8000118,Gelsenkirchen Hbf,51.504903,7.102455,Munster,Nordrhein-Westfalen
8070004,Frankfurt(M) Flughafen Regionalbf,50.051219,8.571251,Darmstadt,Hessen
8001083,Bonn-Beuel,50.738476,7.127657,Köln,Nordrhein-Westfalen
8000163,Tuttlingen,47.980579,8.798542,Freiburg,Baden-Württemberg
8000078,Donauwörth,48.714026,10.771443,Schwaben,Bayern
8006369,Westerland(Sylt),54.906839,8.310925,Schleswig-Holstein,Schleswig-Holstein
8010060,Brandenburg Hbf,52.400554,12.566138,Brandenburg,Brandenburg
8000156,Heidelberg Hbf,49.403567,8.675442,Karlsruhe,Baden-Württemberg
8000105,Frankfurt(Main)Hbf,50.107145,8.663789,Darmstadt,Hessen
8010296,Rathenow,52.59964,12.35484,Brandenburg,Brandenburg
8000087,Solingen Hbf,51.160766,7.004187,Düsseldorf,Nordrhein-Westfalen
8010089,Dresden-Neustadt,51.065899,13.740701,Dresden,Sachsen
8003701,Lingen(Ems),52.519867,7.321731,Weser-Ems,Niedersachsen
8000057,Buchloe,48.033723,10.716217,Schwaben,Bayern
8000310,Remagen,50.5770029,7.23026991,Koblenz,Rheinland-Pfalz
8000307,Recklinghausen Hbf,51.616359,7.20349,Munster,Nordrhein-Westfalen
8001773,Emmerich,51.834175,6.25648,Düsseldorf,Nordrhein-Westfalen
8000073,Singen(Hohentwiel),47.7588801,8.84126902,Freiburg,Baden-Württemberg
8000031,Bensheim,49.681329,8.616717,Darmstadt,Hessen
8000571,Lippstadt,51.670687,8.348785,Arnsberg,Nordrhein-Westfalen
8002159,Furth im Wald,49.309812,12.838811,Oberpfalz,Bayern
8000004,Altenbeken,51.766433,8.943319,Detmold,Nordrhein-Westfalen
8000039,Bingen(Rhein) Hbf,49.968729,7.884263,Rheinhessen-Pfalz,Rheinland-Pfalz
8012183,Leipzig/Halle Flughafen,51.423338,12.223426,Leipzig,Sachsen
8000095,Straubing,48.876978,12.574094,Niederbayern,Bayern
8000068,Darmstadt Hbf,49.872503,8.629636,Darmstadt,Hessen
8000513,Altena(Westf),51.301981,7.668808,Arnsberg,Nordrhein-Westfalen
8002785,Herrenberg,48.593991,8.862662,Stuttgart,Baden-Württemberg
8000263,Münster(Westf)Hbf,51.956566,7.635715,Munster,Nordrhein-Westfalen
8010304,Rostock Hbf,54.078246,12.131079,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern
8011102,Berlin Gesundbrunnen,52.548963,13.388513,Berlin,Berlin
8000080,Dortmund Hbf,51.517896,7.45929,Arnsberg,Nordrhein-Westfalen
8010224,Magdeburg Hbf,52.1305112,11.626963,Magdeburg,Sachsen-Anhalt
8001833,Ergenzingen,48.489534,8.809857,Tübingen,Baden-Württemberg
8000312,Rendsburg,54.302262,9.671134,Schleswig-Holstein,Schleswig-Holstein
8000128,Göttingen,51.536815,9.926072,Braunschweig,Niedersachsen
8000331,Andernach,50.434542,7.404839,Koblenz,Rheinland-Pfalz
8004449,Norddeich,53.621579,7.160824,Weser-Ems,Niedersachsen
8010079,Doberlug-Kirchhain,51.620576,13.564241,Brandenburg,Brandenburg
8010066,Bützow,53.8371137,11.9981942,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern
8010139,Greifswald,54.092923,13.370262,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern
8004563,Oberndorf(Neckar),48.295669,8.575514,Freiburg,Baden-Württemberg
8001751,Ellwangen,48.964121,10.129681,Stuttgart,Baden-Württemberg
8000114,Fürth(Bay)Hbf,49.469707,10.989988,Mittelfranken,Bayern
8000237,Lübeck Hbf,53.867547,10.669821,Schleswig-Holstein,Schleswig-Holstein
8000102,Finnentrop,51.173048,7.964563,Arnsberg,Nordrhein-Westfalen
8000236,Ludwigshafen(Rh)Hbf,49.476529,8.433042,Rheinhessen-Pfalz,Rheinland-Pfalz
8000322,Rottweil,48.165304,8.639295,Freiburg,Baden-Württemberg
8000383,Wetzlar,50.565631,8.503819,Gießen,Hessen
8000064,Celle,52.6204548,10.062468,Luneburg,Niedersachsen
8070003,Frankfurt(M) Flughafen Fernbf,50.053167,8.570185,Darmstadt,Hessen
8000252,Minden(Westf),52.290138,8.934728,Detmold,Nordrhein-Westfalen
8000316,Rheine,52.276299,7.434255,Munster,Nordrhein-Westfalen
8010217,Lübben(Spreewald),51.939737,13.877182,Brandenburg,Brandenburg
8011162,Berlin Ostkreuz,52.503037,13.469105,Berlin,Berlin
8000070,Delmenhorst,53.052792,8.629758,Weser-Ems,Niedersachsen
8010255,Berlin Ostbahnhof,52.5104881,13.4346807,Berlin,Berlin
8000522,Hude,53.109429,8.460956,Weser-Ems,Niedersachsen
8000127,Göppingen,48.700027,9.651969,Stuttgart,Baden-Württemberg
8000259,Mülheim(Ruhr)Hbf,51.431342,6.88651,Düsseldorf,Nordrhein-Westfalen
8003368,Köln Messe/Deutz,50.940874,6.975001,Köln,Nordrhein-Westfalen
8000297,Paderborn Hbf,51.712979,8.740505,Detmold,Nordrhein-Westfalen
8000162,Herford,52.119609,8.663643,Detmold,Nordrhein-Westfalen
8010355,Velgast,54.277316,12.803137,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern
8000302,Plochingen,48.71308,9.41081,Stuttgart,Baden-Württemberg
8000059,Bünde(Westf),52.202075,8.573876,Detmold,Nordrhein-Westfalen
8000320,Rosenheim,47.850018,12.119202,Oberbayern,Bayern
8000368,Wabern(Bz Kassel),51.103134,9.35804,Kassel,Hessen
8000074,Dillenburg,50.7349426,8.29462141,Gießen,Hessen
8010297,Riesa,51.309654,13.287734,Dresden,Sachsen
8000111,Friedberg(Hess),50.332606,8.762056,Darmstadt,Hessen
8011862,Hermsdorf-Klosterlausnitz,50.903779,11.858626,Thüringen,Thüringen
8000103,Flensburg,54.774039,9.436526,Schleswig-Holstein,Schleswig-Holstein
8010099,Elsterwerda,51.459677,13.516428,Brandenburg,Brandenburg
8005424,Schorndorf,48.80715,9.52631,Stuttgart,Baden-Württemberg
8010205,Leipzig Hbf,51.3454712,12.3820639,Leipzig,Sachsen
8000013,Augsburg Hbf,48.365441,10.88557,Schwaben,Bayern
8010404,Berlin-Spandau,52.5346481,13.1968975,Berlin,Berlin
8003770,Ludwigsstadt,50.486583,11.382989,Oberfranken,Bayern
8010250,Neustrelitz Hbf,53.359255,13.074603,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern
8000142,Hagen Hbf,51.362747,7.460249,Arnsberg,Nordrhein-Westfalen
8000045,Boppard Hbf,50.2314224,7.58601397,Koblenz,Rheinland-Pfalz
8003020,Siegen-Weidenau,50.895966,8.029842,Arnsberg,Nordrhein-Westfalen
8000058,Büchen,53.474972,10.623298,Schleswig-Holstein,Schleswig-Holstein
8010033,Bergen auf Rügen,54.4205,13.417821,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern
8010368,Weißenfels,51.204615,11.970926,Halle,Sachsen-Anhalt
8000377,Weinheim(Bergstr)Hbf,49.553302,8.665351,Karlsruhe,Baden-Württemberg
