trip_id,stop_id,stop_sequence,delay,category,operator
9697582647897424417,8007005,3,0,SWE,S6
9697582647897424417,8007005,3,0,SWE,S6
9697582647897424417,8077004,4,0,SWE,S6
9697582647897424417,8077004,4,0,SWE,S6
9697582647897424417,8007004,5,0,SWE,S6
9697582647897424417,8007004,5,0,SWE,S6
9697582647897424417,8007003,6,0,SWE,S6
9697582647897424417,8007003,6,0,SWE,S6
9697582647897424417,8007002,7,0,SWE,S6
9697582647897424417,8007002,7,0,SWE,S6
9697582647897424417,8007001,8,0,SWE,S6
9697582647897424417,8007001,8,0,SWE,S6
9697582647897424417,8000412,9,0,SWE,S6
9702627619249161432,8000322,1,780,HzL,R7
9702627619249161432,8001405,2,780,HzL,R7
9702627619249161432,8001405,2,720,HzL,R7
9702627619249161432,8005911,3,780,HzL,R7
9702627619249161432,8005911,3,720,HzL,R7
9702627619249161432,8000393,4,720,HzL,R7
9702627619249161432,8000393,4,720,HzL,R7
9702627619249161432,8005490,5,720,HzL,R7
9702627619249161432,8005490,5,720,HzL,R7
9702627619249161432,8000356,6,660,HzL,R7
9702627619249161432,8000356,6,660,HzL,R7
9702627619249161432,8006667,7,660,HzL,R7
9702627619249161432,8006667,7,600,HzL,R7
9702627619249161432,8003857,8,600,HzL,R7
9702627619249161432,8003857,8,540,HzL,R7
9702627619249161432,8000366,9,600,HzL,R7
9706907697981514208,8002365,2,0,RB,800631
9706907697981514208,8002365,2,60,RB,800631
9706907697981514208,8006629,3,60,RB,800631
9706907697981514208,8006629,3,60,RB,800631
9706907697981514208,8000932,6,60,RB,800631
9706907697981514208,8000932,6,0,RB,800631
9706907697981514208,8001174,8,0,RB,800631
9706907697981514208,8001174,8,60,RB,800631
9706907697981514208,8005255,9,60,RB,800631
9706907697981514208,8005255,9,60,RB,800631
9706907697981514208,8000463,13,60,RB,800631
9706907697981514208,8000463,13,120,RB,800631
9706907697981514208,8001491,14,120,RB,800631
9706907697981514208,8001491,14,120,RB,800631
9706907697981514208,8006167,15,60,RB,800631
9706907697981514208,8006167,15,120,RB,800631
9706907697981514208,8005871,16,120,RB,800631
9706907697981514208,8005871,16,120,RB,800631
9706907697981514208,8003562,17,120,RB,800631
9706907697981514208,8003562,17,120,RB,800631
9706907697981514208,8004552,18,120,RB,800631
9714770468239878230,8083368,11,180,S,800352
9714770468239878230,8083368,11,180,S,800352
9717109801701324627,8083368,9,120,S,8003S
