from_stop_id,to_stop_id,avg_delay,median_delay,max_delay
8000082,8000085,344,120,2550
8000082,8000086,417,210,3960
8000082,8000579,286,150,1680
8000082,8001595,267,150,1770
8000083,8000083,339,150,2250
8000083,8000145,276,150,1500
8000083,8000263,423,375,1680
8000083,8001266,561,450,2250
8000083,8003658,256,150,1140
8000083,8003783,53,0,480
8000083,8005811,350,150,1920
8000084,8000084,289,60,3540
8000084,8000178,87,30,1320
8000084,8000208,-30,-30,-30
8000084,8000348,0,0,0
8000084,8003553,351,105,3540
8000084,8003990,164,30,1170
8000085,8000082,341,120,3660
8000085,8000085,290,120,5040
8000085,8000086,870,510,5160
8000085,8000098,120,120,120
8000085,8000207,509,240,2520
8000085,8000274,0,0,0
8000085,8001579,123,60,1020
8000085,8001580,40,30,90
8000085,8001581,229,120,1560
8000085,8001582,190,90,1320
8000085,8001584,333,180,1950
8000085,8001585,222,150,1380
8000085,8001598,207,90,2130
8000085,8006713,285,150,1050
8000085,8006718,262,150,1710
8000085,8073368,380,195,1800
8000086,8000082,317,90,2610
8000086,8000085,443,240,3420
8000086,8000086,441,210,5310
8000086,8000098,873,495,5340
8000086,8000118,210,210,210
8000086,8000253,600,600,600
8000086,8000259,350,210,1800
8000086,8000286,471,180,4230
8000086,8000317,670,315,3450
8000086,8000687,308,150,1320
8000086,8001596,171,60,1590
8000086,8001605,260,120,1320
8000087,8000087,341,60,6540
8000087,8000207,485,225,2070
8000087,8000266,852,300,6510
8000087,8000853,181,60,1080
8000087,8002490,100,30,450
8000087,8003616,103,30,690
8000087,8006714,202,60,1560
8000087,8073368,243,210,1020
8000088,8000088,342,270,2160
8000088,8001502,348,330,840
8000088,8004183,90,0,360
8000088,8005594,527,435,2160
8000088,8006090,76,0,750
8000089,8000089,125,60,630
8000089,8002565,112,30,600
8000089,8003002,137,30,1200
8000090,8000090,131,60,1650
8000090,8000753,223,180,780
8000090,8002102,135,90,570
8000090,8006524,117,60,720
8000090,8011054,213,60,1620
8000090,8011849,75,45,240
8000091,8000009,360,360,360
8000091,8000091,91,30,810
8000091,8000260,30,30,30
8000091,8001277,42,0,570
8000091,8001278,120,30,810
8000091,8002609,46,0,600
8000091,8005947,46,30,330
8000092,8000092,186,120,1110
8000092,8000271,112,60,660
8000092,8002293,108,0,300
8000092,8002548,296,210,1110
8000092,8002549,150,150,150
8000092,8002553,148,105,780
8000092,8003102,106,30,570
8000092,8004819,422,420,1110
8000092,8006572,121,90,480
8000093,8000093,190,60,2280
8000093,8000152,15,15,30
8000093,8000282,258,0,2040
8000093,8000483,0,0,0
8000093,8004709,55,0,360
8000094,8000094,140,90,570
8000094,8000276,112,90,360
8000094,8006054,176,120,570
8000095,8000095,100,60,690
8000095,8000298,690,690,690
8000095,8000301,0,0,0
8000095,8000309,442,90,1530
8000095,8004917,86,60,240
8000095,8006745,69,60,300
8000096,8000055,190,90,600
8000096,8000096,457,210,7440
8000096,8000127,1380,1380,1380
8000096,8000156,549,405,2700
8000096,8000170,750,300,7080
8000096,8000191,0,0,0
8000096,8000235,327,120,2130
8000096,8000244,239,150,1590
8000096,8000302,210,210,210
8000096,8000314,234,180,540
8000096,8000329,375,270,930
8000096,8001055,70,60,300
8000096,8001920,75,60,360
8000096,8003411,0,0,0
8000096,8004009,445,300,1410
8000096,8004488,140,180,240
8000096,8005424,174,120,540
8000096,8005769,97,60,330
8000096,8005776,126,150,180
8000096,8006053,121,30,780
8000096,8006421,105,75,270
8000098,8000041,975,465,5340
8000098,8000080,960,960,960
8000098,8000085,373,270,900
8000098,8000086,429,150,3420
8000098,8000098,414,180,5340
8000098,8000099,391,210,3090
8000098,8000118,379,285,1680
8000098,8000259,403,180,3570
8000098,8000263,720,300,1980
8000098,8001897,49,0,660
8000098,8001898,272,150,2820
8000098,8001910,88,30,450
8000098,8001911,159,0,2160
8000098,8002549,255,255,270
8000098,8006226,310,180,1800
8000099,8000098,259,150,2730
8000099,8000099,332,150,3090
8000099,8001912,726,360,3060
8000099,8001913,277,150,1290
8000100,8000100,72,60,600
8000100,8002402,56,60,120
8000100,8003462,6,0,60
8000100,8003671,90,90,90
8000100,8003927,85,60,270
8000100,8005298,110,60,600
8000100,8006280,86,60,450
8000101,8000101,105,90,450
8000101,8000177,143,105,510
8000101,8001833,78,30,360
8000101,8001944,54,0,300
8000102,8000102,198,90,2100
8000102,8002370,175,120,1230
8000102,8004838,243,180,1860
8000103,8000103,210,210,240
8000103,8000312,315,315,330
8000103,8003032,0,0,0
8000103,8005825,46,15,240
8000104,8000104,589,660,1860
8000104,8000985,492,330,1770
8000104,8002033,520,390,2040
8000105,8000010,453,180,1950
8000105,8000068,210,180,780
8000105,8000096,390,390,390
8000105,8000105,570,210,7440
8000105,8000106,84,60,420
8000105,8000111,197,60,1320
8000105,8000115,1244,600,7290
8000105,8000150,751,615,2340
8000105,8000152,930,930,930
8000105,8000156,3540,3540,7080
8000105,8000191,1280,1920,1920
8000105,8000206,-120,-120,-120
8000105,8000244,472,420,1500
8000105,8000250,-240,-240,-240
8000105,8001236,45,30,270
8000105,8002041,210,120,2520
8000105,8002042,74,60,630
8000105,8002046,0,0,0
8000105,8002050,105,0,1560
8000105,8003200,1020,630,2610
8000105,8003523,151,90,780
8000105,8004246,45,0,210
8000105,8006690,0,0,0
8000105,8010101,150,150,360
8000105,8010159,1260,1260,1260
8000105,8010404,30,30,30
8000105,8070003,326,120,2310
8000105,8070004,98,90,240
8000106,8000105,130,60,870
8000106,8000106,108,30,3090
8000106,8002046,83,0,1020
8000106,8002051,129,60,3120
8000106,8002872,110,75,600
8000106,8002935,98,60,360
8000107,8000107,216,30,5160
8000107,8000191,510,510,510
8000107,8000290,240,90,1020
8000107,8000718,240,135,840
8000107,8000774,292,210,840
8000107,8001415,98,60,420
8000107,8001643,150,105,390
8000107,8001771,30,30,30
8000107,8002067,600,165,2070
8000107,8002068,33,0,330
8000107,8002069,77,30,600
8000107,8002465,141,60,900
8000107,8003494,60,60,60
8000107,8004124,0,0,0
8000107,8005317,132,60,480
8000108,8000108,165,60,1860
8000108,8000116,465,195,1920
8000108,8000737,120,120,120
8000108,8002085,0,0,0
8000108,8003584,43,45,150
8000110,8000110,58,30,330
8000110,8002087,21,0,240
8000110,8002445,58,0,300
8000111,8000105,286,240,750
8000111,8000111,315,180,2970
8000111,8000124,323,210,1410
8000111,8000150,840,840,840
8000111,8000632,93,60,720
8000111,8000728,142,60,1500
8000111,8000760,607,240,2520
8000111,8001196,162,90,630
8000111,8001504,195,195,300
8000111,8002042,472,270,1890
8000112,8000112,74,30,450
8000112,8001838,22,0,90
8000112,8002030,75,0,360
8000112,8002111,46,30,210
8000112,8003432,30,30,90
8000112,8003524,66,60,150
8000112,8003693,-120,-120,-120
8000112,8003733,47,0,570
8000112,8003871,200,90,420
