eva,ds100,lat,lon,name,is_active_ris,is_active_iris,meta_evas,available_transports,number_of_events
5400016,XTPR,49.446351,17.446173,Prerov,True,True,[],['INTERCITY_TRAIN' 'INTER_REGIONAL_TRAIN' 'REGIONAL_TRAIN'],6778.0
8001135,SBA,49.2164583,7.0288682,Brebach,True,True,[],['TRAM'],113870.0
8002014,RFLO,49.513958,8.333801,Flomersheim,True,True,[],['REGIONAL_TRAIN'],42428.0
8073527,,52.66668,13.31684,"Bergfelde, Fichtestraße",True,False,[],[],
8073527,,52.66668,13.31684,"8073 Feldkirchen bei Graz, Abtissendorf",False,False,[],[],
8400180,XNDO,51.807323,4.667762,Dordrecht,True,True,[],['INTERCITY_TRAIN' 'REGIONAL_TRAIN'],2.0
8003736,RLRD,47.597713,7.655224,Lörrach Dammstraße,True,True,[],['CITY_TRAIN'],37074.0
8000515,MALT,47.648365,11.017375,Altenau(Bay),True,True,[],['REGIONAL_TRAIN'],26460.0
8004184,RMRG,47.553452,8.018725,Murg(Baden),True,True,[],['REGIONAL_TRAIN'],34158.0
8011959,LJES,51.4198809,12.5453782,Jesewitz(Leipzig),True,True,[],['CITY_TRAIN'],44101.0
8002773,FHER,49.936802,8.916575,Hergershausen,True,True,[],['REGIONAL_TRAIN'],35912.0
8001225,NBM,49.763284,10.145179,Buchbrunn-Mainstockheim,True,True,[],['REGIONAL_TRAIN'],30806.0
8005023,ARE,54.181206,8.906647,Reinsbüttel,True,True,[],['REGIONAL_TRAIN'],26060.0
8001330,NCH,49.221869,12.656832,Cham(Oberpf),True,True,[],['REGIONAL_TRAIN'],44459.0
714222,FKKPL,51.315787,9.497922,"Königsplatz, Kassel",True,True,[715343],['CITY_TRAIN' 'TRAM'],79734.0
8011745,LGD,51.232352,12.383193,Großdeuben,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],51944.0
8004983,NRPF,49.012057,12.049297,Regensburg-Prüfening,True,True,[],['REGIONAL_TRAIN'],63606.0
8300156,XILS,44.11169,9.813674,La Spezia Centrale,True,True,[],['INTERCITY_TRAIN'],632.0
8504223,XSCO,47.038987,7.023834,Cornaux,True,True,[],['REGIONAL_TRAIN'],
5401075,OTHJS,49.211754,13.174804,Hojsova Straz,True,True,[],['INTER_REGIONAL_TRAIN' 'REGIONAL_TRAIN'],13042.0
5400730,XTCC,50.454323,13.363351,Cernovice u Chomutova,True,True,[],['REGIONAL_TRAIN'],698.0
8084121,ALS D,54.219,10.89648,Lensahn Dieselstraße,True,True,[],[],13396.0
8102888,PAWAN,48.2348,16.5045,Wien Aspern Nord,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],
8003477,AKE,54.287142,10.180414,Kiel-Elmschenhagen,True,True,[8070840],['REGIONAL_TRAIN'],27586.0
8005257,RANS,49.208725,7.937192,Annweiler-Sarnstall,True,True,[],['REGIONAL_TRAIN'],21818.0
8503501,OSDOK,47.575663,8.256415,Döttingen,True,True,[],['CITY_TRAIN'],
8002067,RFHE,48.008237,7.850973,Freiburg-Herdern,True,True,[808141],['REGIONAL_TRAIN' 'CITY_TRAIN'],47214.0
5100145,XPSU,53.397748,14.494864,Szczecin Gumience,True,True,[],['REGIONAL_TRAIN'],36626.0
8003336,RKLN,48.007366,8.465779,Brigachtal Klengen,True,True,[498182],['REGIONAL_TRAIN' 'CITY_TRAIN'],29836.0
8003189,NKA,49.962899,9.768148,Karlstadt(Main),True,True,[],['REGIONAL_TRAIN'],51083.0
8012036,DKRD,51.1346086,13.9901769,Kleinröhrsdorf,True,True,[],['CITY_TRAIN'],28804.0
8700109,XFJL,43.385822,-1.661105,St-Jean-de-Luz-Ciboure,True,True,[],['HIGH_SPEED_TRAIN' 'INTERCITY_TRAIN' 'REGIONAL_TRAIN'],
503298,,47.855802,8.112106,"Altglashütten Windgfällstraße, Feldberg (Schwarzwa",True,False,[],['BUS'],4.0
371881,,48.130716,11.616375,"Ampfingstraße, München",True,False,[],['BUS'],
8003644,HLGL,51.588428,9.871195,Lenglern,True,True,[],['REGIONAL_TRAIN'],18322.0
8004920,KDHL,51.133036,6.908277,Düsseldorf-Hellerhof,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],80100.0
5457279,XTPZM,50.062135,14.503996,Praha-Zahradni Mesto,True,True,[],['INTER_REGIONAL_TRAIN'],2474.0
8701995,OFSLU,43.662388,7.1946,St-Laurent-du-Var,True,True,[],['REGIONAL_TRAIN'],21254.0
280329,,52.281669,10.576396,"Petzvalstraße, Braunschweig",True,False,[],[],
8101477,OASBL,48.245612,16.704473,Siebenbrunn-Leopoldsdorf,True,True,[],['REGIONAL_TRAIN'],
400601,,49.345494,6.935399,"In der Hommersbach (Bus), Heusweiler",True,False,[],['BUS'],
836412,PQRWM,49.322255,6.919746,"Walpershofen Mitte, Riegelsberg",True,True,[],['TRAM' 'BUS' 'SHUTTLE'],63856.0
750427,D750427,48.514636,9.359601,"Gsaidt, Dettingen an der Erms",True,True,[],['BUS' 'SHUTTLE'],176.0
8101972,XABIA,47.427632,10.776707,Bichlbach Almkopfbahn,True,True,[],['CITY_TRAIN'],14076.0
8013165,BUD,51.328137,14.894309,Uhsmannsdorf,True,True,[],['REGIONAL_TRAIN'],25988.0
8087060,RLBN,49.519954,8.427878,Ludwigshafen(Rhein) BASF Nord,True,True,[],['CITY_TRAIN'],8893.0
8006116,HVHP,52.64804,10.656384,Vorhop,True,True,[],['REGIONAL_TRAIN'],25474.0
8011096,DBAE,51.166767,13.72074,Bärnsdorf,True,True,[],['REGIONAL_TRAIN'],2506.0
8010001,DAD,50.3243953,12.2606778,Adorf(Vogtl),True,True,[],['REGIONAL_TRAIN'],16998.0
196514,,48.849954,10.497613,Nördlingen,True,False,[],[],
8700139,XFARL,43.685007,4.63243,Arles,True,True,[],['HIGH_SPEED_TRAIN' 'INTERCITY_TRAIN' 'REGIONAL_TRAIN'],
8006091,HVLO,52.1718,8.86419,Vlotho,True,True,[],['REGIONAL_TRAIN'],23192.0
720499,D720499,49.143432,9.130261,"Allmandstraße (Ersatzhalt), Leingarten",True,True,[8070157],['REGIONAL_TRAIN'],5252.0
105273,D105273,53.202661,7.886261,"Ocholt Bahnhof, Westerstede",True,True,[8004610],['INTER_REGIONAL_TRAIN' 'REGIONAL_TRAIN'],
8017012,LHZG,51.64346,11.142641,Harzgerode,True,True,[],[],2203.0
8100039,XAFT,46.721467,14.098878,Feldkirchen in Kärnten,True,True,[],['CITY_TRAIN'],
8003321,KKLE,51.195662,6.551972,Kleinenbroich,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],68268.0
5100005,XPBY,53.135113,17.991637,Bydgoszcz Glowna,True,True,[],['INTERCITY_TRAIN'],2016.0
8506111,XSHBS,47.496843,9.463073,"Horn(Bodensee), SF",True,True,[],[],
8005581,NSIH,48.990796,12.037653,Sinzing,True,True,[786028],['REGIONAL_TRAIN'],32232.0
739601,D739601,52.667748,13.558767,"Abzw. Wohnsiedlung, Bernau bei Berlin",True,True,[8089099],['REGIONAL_TRAIN' 'BUS'],246.0
