from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay
8000118,8000286,23,31,282,120,2010
8000118,8000307,4,4,840,915,1470
8000122,8000009,12,22,243,30,2760
8000122,8000078,14,21,207,30,1470
8000122,8000122,55,64,222,90,1710
8000122,8000261,17,18,143,90,540
8000122,8000284,22,22,290,225,1110
8000124,8000111,15,15,736,240,2550
8000124,8000124,67,84,328,120,2520
8000124,8000337,23,36,240,60,1710
8000124,8000383,16,17,286,150,1350
8000124,8000728,26,42,191,30,1860
8000124,8002041,1,1,870,870,870
8000127,8000096,0,1,0,0,0
8000127,8000127,29,37,171,90,870
8000127,8000170,16,19,194,210,570
8000127,8000302,10,17,76,30,810
8000128,8000049,13,14,647,405,2850
8000128,8000115,1,1,1170,1170,1170
8000128,8000128,105,130,914,495,3930
8000128,8000152,46,49,1245,960,4560
8000128,8003200,53,65,1200,1590,3990
8000128,8010404,1,1,2640,2640,2640
8000129,8000129,27,33,516,120,2400
8000129,8000337,16,16,668,165,2430
8000129,8000368,12,15,482,300,1860
8000129,8003200,1,2,90,90,180
8000139,8000013,19,29,314,30,3900
8000139,8000139,25,60,210,0,3750
8000139,8000170,15,30,125,15,2100
8000142,8000080,28,33,474,90,3000
8000142,8000142,146,210,341,60,6150
8000142,8000149,32,46,601,60,6390
8000142,8000196,12,13,81,60,270
8000142,8000227,10,26,57,0,480
8000142,8000251,43,73,73,30,990
8000142,8000266,97,125,260,60,2640
8000147,8000050,20,23,535,180,3090
8000147,8000085,1,1,1830,1830,1830
8000147,8000098,1,1,330,330,330
8000147,8000147,57,64,741,225,4440
8000147,8000152,10,13,344,90,1950
8000147,8000237,2,3,1330,210,4080
8000147,8000238,12,12,158,120,420
8000147,8000271,2,2,2370,2370,4440
8000147,8002549,19,19,1187,720,4230
8000147,8002554,3,4,900,840,1920
8000147,8003102,0,2,0,0,0
8000149,8000036,29,30,1164,450,6840
8000149,8000076,19,36,76,30,840
8000149,8000080,63,86,286,60,3390
8000149,8000118,0,1,0,0,0
8000149,8000142,35,47,286,120,1530
8000149,8000149,107,136,530,180,6660
8000149,8000294,1,1,90,90,90
8000149,8000961,3,3,60,60,90
8000149,8002461,42,50,607,150,6360
8000150,8000025,1,2,30,30,60
8000150,8000105,17,19,838,360,3930
8000150,8000111,18,18,270,165,1200
8000150,8000115,30,39,314,60,2940
8000150,8000150,149,192,350,90,4710
8000150,8000152,1,1,480,480,480
8000150,8000260,18,26,241,60,3570
8000150,8002041,57,76,306,60,4770
8000150,8003200,2,2,210,210,240
8000150,8070004,41,43,61,60,180
8000152,8000004,3,16,4,0,60
8000152,8000036,22,27,146,60,660
8000152,8000049,14,15,272,240,840
8000152,8000050,6,7,1916,1530,4710
8000152,8000064,32,48,683,60,6750
8000152,8000115,1,1,30,30,30
8000152,8000128,48,54,864,885,2730
8000152,8000147,10,11,1675,1920,4500
8000152,8000150,1,1,4260,4260,4260
8000152,8000152,209,309,515,90,6930
8000152,8000162,6,7,356,180,1260
8000152,8000238,4,5,2280,1680,4140
8000152,8000252,27,38,146,60,900
8000152,8000260,1,1,30,30,30
8000152,8000279,26,50,37,30,180
8000152,8000294,1,2,165,165,330
8000152,8000732,1,1,300,300,300
8000152,8002549,10,12,1542,1110,5580
8000152,8003487,12,22,86,45,480
8000152,8004760,1,1,300,300,300
8000152,8006552,30,31,907,390,6450
8000152,8010404,14,14,1209,450,6690
8000155,8000155,30,39,215,60,1170
8000155,8000181,15,20,332,330,1170
8000155,8003102,20,33,59,30,930
8000156,8000055,1,1,60,60,60
8000156,8000068,0,1,-210,-210,-210
8000156,8000096,12,13,722,600,2280
8000156,8000105,1,2,690,690,1410
8000156,8000156,191,240,199,60,2760
8000156,8000191,3,3,1610,1380,2190
8000156,8000244,74,104,123,60,2730
8000156,8000377,20,27,180,90,1200
8000156,8001920,5,5,198,180,270
8000156,8002041,7,8,184,195,420
8000156,8006053,6,6,300,255,720
8000156,8006421,45,59,172,60,2250
8000156,8070003,0,1,-750,-750,-750
8000159,8000049,13,23,111,60,1140
8000159,8000159,22,37,98,60,600
8000159,8010224,13,21,96,60,510
8000162,8000004,8,16,22,15,90
8000162,8000036,50,71,168,60,1260
8000162,8000059,15,30,59,15,390
8000162,8000152,2,4,1522,30,6030
8000162,8000162,82,140,256,30,6180
8000162,8000252,4,9,427,0,3090
8000162,8000732,13,26,451,15,3180
8000163,8000073,13,15,658,330,1710
8000163,8000163,64,77,548,150,4440
8000163,8000170,8,9,110,60,450
8000163,8000322,11,13,501,60,2730
8000163,8001790,15,15,1262,840,4440
8000163,8005616,16,16,1178,480,4860
8000168,8000050,4,5,126,60,390
8000168,8000064,9,10,150,165,360
8000168,8000152,1,1,30,30,30
8000168,8000168,19,20,1389,300,6690
8000168,8000238,8,9,2847,2190,6810
8000170,8000013,20,22,914,405,3750
8000170,8000073,2,2,30,30,30
8000170,8000096,18,20,274,165,1050
8000170,8000127,10,18,65,30,540
8000170,8000139,25,30,329,60,3840
8000170,8000163,6,8,90,60,300
8000170,8000170,74,98,318,60,3780
8000170,8000249,14,21,91,60,450
8000170,8001920,11,12,182,60,660
8000170,8003693,11,14,86,30,480
8000176,8000176,29,64,79,0,1410
8000176,8000189,2,2,105,105,120
8000176,8000323,19,51,43,0,450
8000176,8003515,24,44,86,30,1410
8000177,8000101,12,12,258,60,1770
8000177,8000177,69,75,493,120,5190
8000177,8000299,11,15,58,30,180
8000177,8000322,8,10,228,30,870
8000177,8001055,10,12,570,90,2970
8000177,8001080,15,15,1266,570,5190
8000177,8002785,1,1,60,60,60
8000177,8005791,21,28,181,60,660
8000181,8000155,14,19,55,60,150
8000181,8000181,24,36,97,45,600
8000181,8004343,2,21,3,0,30
8000181,8005362,10,19,57,30,240
8000189,8000039,9,20,39,0,180
8000189,8000176,3,3,240,60,630
8000189,8000189,39,59,93,30,1260
8000189,8000244,1,3,20,0,60
8000189,8000275,29,52,58,30,1020
8000189,8000323,2,2,180,180,300
8000189,8003515,28,43,76,30,630
8000191,8000055,4,8,41,15,180
8000191,8000096,2,2,1170,1170,2190
8000191,8000105,4,5,372,330,810
8000191,8000107,1,1,660,660,660
8000191,8000156,1,1,300,300,300
8000191,8000191,43,55,736,300,5460
8000191,8000236,5,7,60,30,210
8000191,8000244,18,40,57,0,480
8000191,8000275,19,30,248,30,2880
8000191,8000290,4,5,1536,750,5580
8000191,8000299,8,9,53,30,120
8000191,8000377,1,1,630,630,630
8000191,8000774,34,48,549,60,4170
8000191,8002041,5,6,450,210,1530
8000191,8003184,56,165,19,0,360
8000191,8006053,1,1,60,60,60
8000192,8000041,14,21,120,60,510
8000192,8000080,71,85,273,90,3150
8000192,8000118,127,154,300,90,2610
8000192,8000192,266,334,274,90,2640
8000192,8000307,55,62,476,165,2760
8000194,8000057,44,49,298,180,1410
8000194,8000194,70,98,201,90,1440
8000194,8000197,41,49,94,60,630
8000196,8000004,16,16,191,135,570
8000196,8000142,13,13,159,60,540
8000196,8000196,24,29,326,180,3060
8000196,8003200,14,14,454,240,3120
8000197,8000194,46,49,311,240,1440
8000197,8000197,83,89,230,120,1200
8000197,8000249,18,20,219,105,1110
8000197,8003065,31,49,144,30,600
8000199,8000271,16,42,54,0,1560
8000206,8000039,6,6,465,345,990
8000206,8000045,27,32,205,210,900
8000206,8000206,71,110,259,60,3420
8000206,8000207,1,1,360,360,360
8000206,8000240,11,17,946,330,4110
8000206,8000323,12,16,150,30,1470
8000206,8000331,13,35,24,0,570
8000206,8001083,26,32,295,105,4290
8000206,8073368,8,11,251,120,1410
8000207,8000001,6,9,203,60,1470
8000207,8000044,1,1,1110,1110,1110
8000207,8000085,80,105,201,60,3540
8000207,8000087,11,11,725,210,2700
8000207,8000207,566,779,253,30,7200
8000207,8000208,139,174,311,60,7200
8000207,8000244,7,7,634,330,2790
8000207,8000266,13,14,332,60,2850
8000207,8003368,262,386,129,30,5370
8000207,8005556,11,15,346,30,3030
8000207,8070003,11,13,556,510,2340
8000208,8000001,26,36,799,30,7020
8000208,8000207,71,174,82,0,2550
8000208,8000208,180,310,218,30,7200
8000214,8000214,29,51,82,60,600
8000214,8000532,17,26,82,45,390
8000214,8003020,9,25,59,0,570
8000225,8000225,27,60,78,0,750
8000225,8000664,12,23,81,30,450
8000225,8001768,17,36,99,0,630
8000225,8004751,1,6,5,0,30
8000227,8000080,2,2,210,210,240
8000227,8000142,25,28,84,45,480
8000227,8000227,68,87,94,60,1530
8000227,8000251,16,16,90,60,300
8000227,8000513,15,25,79,60,480
8000227,8000532,2,2,795,795,1500
8000228,8000025,35,47,109,60,600
8000228,8000228,52,89,91,30,660
8000228,8003446,11,22,87,15,540
8000235,8000096,12,19,128,90,810
8000235,8000235,169,201,285,210,3420
8000235,8000260,11,14,300,120,1890
8000236,8000055,5,5,276,60,960
8000236,8000191,6,7,99,120,210
8000236,8000236,139,204,91,30,1080
8000236,8000240,24,29,117,90,960
8000236,8000244,77,98,88,60,570
8000236,8000275,28,37,54,30,270
8000237,8000147,2,3,-20,30,30
8000237,8002549,22,40,123,30,1140
8000237,8010018,10,18,155,30,1080
8000238,8000147,13,14,2681,2100,7110
8000238,8000152,1,2,0,0,30
8000238,8000168,11,11,191,150,390
8000238,8000238,24,26,1509,285,6990
8000240,8000039,21,33,74,30,570
8000240,8000045,0,1,0,0,0
8000240,8000105,13,15,62,60,150
8000240,8000206,11,17,139,60,510
8000240,8000236,26,31,79,90,360
8000240,8000240,130,200,229,60,5400
8000240,8000244,14,18,380,195,1740
8000240,8000323,9,17,-16,30,270
8000240,8070003,8,13,794,60,3690
8000240,8070004,66,67,185,90,5370
8000244,8000031,1,1,120,120,120
8000244,8000096,10,10,1221,810,3570
8000244,8000105,17,18,235,180,630
8000244,8000156,87,107,105,60,660
8000244,8000189,2,2,285,285,450
8000244,8000191,28,45,554,60,5520
8000244,8000207,6,6,145,150,210
8000244,8000236,60,100,80,30,990
8000244,8000240,15,16,178,135,480
8000244,8000244,160,220,238,60,5550
8000244,8000275,7,11,224,30,1020
8000244,8000377,14,20,80,30,330
8000244,8001920,1,1,180,180,180
8000244,8002041,11,15,230,180,1170
8000244,8005556,1,2,0,0,30
8000244,8006053,2,2,135,135,210
8000244,8070003,1,1,480,480,480
8000249,8000057,20,25,121,90,420
8000249,8000170,16,20,186,75,1110
8000249,8000197,18,20,180,90,660
8000249,8000249,48,55,167,90,1230
8000249,8003693,5,7,64,30,150
8000251,8000041,18,33,109,30,1470
8000251,8000080,64,71,92,60,960
8000251,8000142,50,73,68,60,690
8000251,8000227,13,17,55,30,390
8000251,8000251,123,179,80,60,930
8000252,8000036,1,1,570,570,570
8000252,8000059,2,2,105,105,150
8000252,8000152,24,39,222,30,2910
8000252,8000162,7,9,333,30,1350
8000252,8000252,39,49,293,60,3000
8000252,8000279,7,7,193,60,900
8000252,8000732,16,30,129,30,930
8000259,8000086,109,154,611,120,7440
8000259,8000098,121,185,188,30,4170
8000259,8000259,236,377,338,30,7440
8000259,8000286,18,38,47,0,360
8000260,8000009,2,2,1905,1905,2550
8000260,8000025,23,32,79,30,900
8000260,8000091,11,20,138,45,1020
8000260,8000105,13,14,283,240,780
8000260,8000114,18,18,147,120,570
8000260,8000115,15,28,302,30,1800
8000260,8000150,19,27,129,90,600
8000260,8000152,1,1,1350,1350,1350
8000260,8000235,9,12,138,30,570
8000260,8000260,106,145,395,90,3870
8000260,8000284,35,47,651,150,3840
8000260,8002041,0,1,0,0,0
8000260,8010101,3,7,214,0,1350
8000261,8000013,5,5,468,120,1920
8000261,8000122,10,17,30,30,120
8000261,8000261,3,3,730,120,2010
8000261,8000262,15,17,46,30,120
8000261,8000284,49,62,228,90,1590
8000261,8000301,17,17,99,90,240
8000261,8000309,9,9,180,90,840
8000261,8004158,53,79,79,30,1650
8000262,8000013,4,4,338,330,390
8000262,8000261,11,16,334,30,2100
8000262,8000262,504,850,78,30,2130
8000262,8000320,8,11,229,60,780
8000262,8004158,192,238,96,60,1260
8000262,8098262,6,11,71,30,330
8000263,8000080,21,32,306,45,3030
8000263,8000118,7,8,281,120,1320
8000263,8000147,5,5,456,210,1320
8000263,8000263,73,102,447,90,3210
8000263,8000294,40,51,534,120,3240
8000263,8000307,48,63,291,60,1920
8000263,8000316,10,32,65,0,1320
8000263,8002461,4,13,14,0,120
8000266,8000085,88,107,107,60,1020
8000266,8000087,51,62,510,135,3720
8000266,8000142,90,118,399,60,6180
8000266,8000207,14,15,684,420,2400
8000266,8000266,247,333,347,60,6210
8000266,8073368,2,3,1150,30,3480
8000271,8000147,0,2,-210,-210,0
8000271,8000199,34,42,289,105,4110
8000271,8000271,89,123,202,60,4320
8000271,8000312,20,22,240,120,990
8000271,8002549,5,5,228,240,330
8000271,8005362,3,3,320,390,510
8000275,8000189,31,53,87,30,810
8000275,8000191,22,29,231,30,3120
8000275,8000236,22,32,38,30,360
8000275,8000244,7,14,84,15,840
8000275,8000275,64,105,74,30,930
8000279,8000152,30,49,119,30,1890
8000279,8000252,4,7,94,30,540
8000279,8000279,34,60,106,30,1950
8000279,8006076,19,30,146,30,1380
8000284,8000009,32,55,59,30,1350
8000284,8000025,2,5,156,0,690
8000284,8000078,1,2,75,75,180
8000284,8000114,102,128,109,30,1710
8000284,8000122,21,21,156,90,660
8000284,8000260,35,49,288,120,2130
8000284,8000261,47,59,465,150,3660
8000284,8000284,171,259,214,30,3780
8000284,8000309,16,27,236,30,3450
8000284,8001844,8,9,447,300,2010
8000284,8002159,1,1,120,120,120
8000284,8010101,3,3,170,180,210
8000286,8000086,1,1,1080,1080,1080
8000286,8000098,0,1,-30,-30,-30
8000286,8000118,12,31,51,0,720
8000286,8000259,8,39,21,0,330
8000286,8000286,0,1,0,0,0
8000290,8000073,1,1,90,90,90
8000290,8000107,36,40,842,195,5790
8000290,8000191,4,8,116,15,480
8000290,8000290,63,89,424,60,5790
8000290,8000774,19,36,139,30,1650
8000290,8001790,10,16,79,30,330
8000291,8000070,2,2,195,195,360
8000291,8000291,37,49,125,60,1260
8000291,8000522,25,25,256,120,1440
8000291,8000770,19,26,129,30,1050
8000294,8000050,14,16,883,270,3420
8000294,8000059,12,21,121,30,960
8000294,8000149,1,1,360,360,360
8000294,8000152,1,2,525,525,1050
8000294,8000263,29,52,204,30,2940
8000294,8000294,67,87,419,90,3330
8000294,8000316,14,21,83,30,600
8000294,8000732,4,4,315,315,570
8000294,8001443,16,21,279,60,3090
8000297,8000004,9,47,102,0,3240
8000297,8000297,20,31,251,90,3300
8000297,8000571,23,47,79,0,570
8000298,8000095,1,1,510,510,510
8000298,8000298,15,16,373,180,2190
8000298,8000301,19,27,96,30,450
8000299,8000177,13,15,60,30,180
8000299,8000191,5,7,111,120,270
8000299,8000299,42,67,75,60,300
8000299,8000339,25,33,76,60,270
8000299,8003184,28,63,34,0,270
8000301,8000095,2,3,60,30,150
8000301,8000261,11,17,115,60,660
8000301,8000298,20,26,353,75,3180
8000301,8000301,42,53,228,60,3210
8000301,8000309,5,6,285,345,450
8000302,8000127,18,18,233,210,480
8000302,8000302,93,122,117,60,780
8000302,8001920,40,61,92,30,810
8000307,8000080,15,18,123,60,480
8000307,8000098,3,3,230,150,420
8000307,8000118,3,3,1190,990,2520
8000307,8000192,58,64,326,90,2400
8000307,8000263,54,60,497,165,2910
8000307,8000286,1,1,1050,1050,1050
8000307,8000307,118,137,431,150,2880
8000309,8000095,1,2,15,15,30
8000309,8000261,5,7,39,60,60
8000309,8000284,23,27,127,60,570
8000309,8000301,5,8,836,210,3240
8000309,8000309,25,35,264,60,3300
8000310,8000044,31,34,131,120,330
8000310,8000310,15,28,38,30,300
8000312,8000103,2,2,135,135,240
8000312,8000271,18,21,67,30,360
8000312,8000312,54,79,92,30,960
8000312,8005362,26,39,124,30,930
8000316,8000263,11,31,20,0,90
8000316,8000294,15,23,183,30,1140
8000316,8000316,28,54,133,30,1230
8000316,8000879,9,21,40,0,540
8000316,8003701,4,5,384,90,1200
8000320,8000262,12,13,554,330,2280
8000320,8000320,20,24,394,255,2160
8000320,8004885,4,4,735,720,900
8000322,8000163,12,12,500,390,1260
8000322,8000177,12,14,568,150,2940
8000322,8000322,48,57,602,270,5250
8000322,8004563,23,23,977,450,5280
8000322,8005616,18,18,312,300,660
8000323,8000176,28,52,67,30,1470
8000323,8000189,1,3,10,0,30
8000323,8000206,9,16,98,30,660
8000323,8000240,14,17,88,60,420
8000323,8000323,34,65,55,30,1410
8000329,8000002,9,16,51,30,240
8000329,8000096,5,5,120,120,180
8000329,8000329,17,31,51,30,240
8000329,8005424,8,10,51,30,270
8000331,8000206,32,36,116,120,270
8000331,8000331,41,69,46,30,330
8000337,8000124,29,34,469,150,2520
8000337,8000129,14,17,378,150,1830
8000337,8000337,42,46,458,180,2550
8000339,8000096,1,2,45,45,90
8000339,8000299,18,34,68,30,330
8000339,8000339,44,67,79,60,360
8000339,8006053,21,31,90,60,630
8000368,8000129,13,15,632,90,2400
8000368,8000368,34,46,381,120,2400
8000368,8003200,17,23,317,120,1830
8000377,8000031,50,61,194,120,1200
8000377,8000156,27,33,600,240,3570
8000377,8000191,1,1,690,690,690
8000377,8000244,14,19,496,420,1980
